City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,tocopilla,-22.092,-70.1979,291.84,73,37,1.44,CL,1702008229
307,micheweni,-4.9667,39.8333,300.04,83,45,2.52,TZ,1702008333
308,port hedland,-20.3167,118.5667,312.18,27,7,5.14,AU,1702008334
309,udachny,66.4167,112.4,244.51,82,100,1.61,RU,1702008302
310,goregaon,18.1667,73.3,300.78,54,23,1.36,IN,1702008335
311,fale old settlement,-9.3852,-171.2468,300.4,83,100,7.64,TK,1702008336
312,punta alta,-38.8759,-62.0736,287.63,74,45,4.69,AR,1702008039
313,broken hill,-31.95,141.4333,314.29,11,78,14.65,AU,1702008337
314,alpena,45.0617,-83.4327,275.99,95,100,1.54,US,1702008337
315,rio branco,-9.9747,-67.81,298.49,94,0,1.03,BR,1702008337
316,yambio,4.5721,28.3955,293.4,89,2,1.22,SS,1702008338
317,igrim,63.1906,64.4162,245.49,95,100,1.55,RU,1702008338
318,zhumysker,49.3333,49.4,265.19,86,66,4.9,KZ,1702008339
319,buka,40.8108,69.1986,278.17,58,100,1.59,UZ,1702008339
320,toamasina,-18.1667,49.3833,298.15,83,40,3.6,MG,1702008340
321,velyka pysarivka,50.4259,35.485,269.93,77,100,7.2,UA,1702008340
322,moussoro,13.6408,16.4901,293.35,18,100,4.5,TD,1702008341
323,twentynine palms,34.1356,-116.0542,287.58,46,1,1.44,US,1702008202
324,rio tuba,8.5061,117.4317,302.27,71,100,5.17,PH,1702008341
325,khedbrahma,24.0333,73.05,295.04,51,0,2.18,IN,1702008342
326,cova figueira,14.8905,-24.2934,294.81,73,6,3.62,CV,1702008342
327,yarmouth,41.7057,-70.2286,274.8,70,0,6.26,US,1702008343
328,miri,4.4148,114.0089,304.23,66,40,2.57,MY,1702008344
329,zaozersk,69.4005,32.4476,258.3,93,95,4.12,RU,1702008344
330,hilo,19.7297,-155.09,297.18,90,22,0.89,US,1702008060
331,mashi,12.9784,7.9529,291.81,20,94,3.75,NG,1702008345
332,valparaiso,-33.0393,-71.6273,284.95,93,40,1.03,CL,1702008098
333,vatra dornei,47.35,25.3667,272.06,90,100,0.67,RO,1702008345
334,mitu,1.1983,-70.1733,295.35,99,100,0.43,CO,1702008346
335,guerrero negro,27.9769,-114.0611,291.26,80,0,7.87,MX,1702008346
336,calca,-13.3333,-71.95,288.79,82,100,1.75,PE,1702008347
337,megion,61.0296,76.1136,242.16,90,100,5.67,RU,1702008347
338,chikwawa,-16.0335,34.8009,296.65,76,4,1.11,MW,1702008348
339,ciudad mante,22.7333,-98.9667,291.68,94,86,1.52,MX,1702008348
340,chehalis,46.662,-122.964,278.89,98,75,2.57,US,1702008349
341,qujing,25.4833,103.7833,289.3,72,81,7.03,CN,1702008322
342,malango,-2.9627,119.9001,300.42,65,100,0.84,ID,1702008349
343,pacocha,-17.5833,-71.3333,291.83,84,50,1.84,PE,1702008350
344,holualoa,19.6228,-155.9522,297.06,71,75,5.66,US,1702008351
345,tazacorte,28.629,-17.9293,291.69,71,0,5.66,ES,1702008351
346,kayangel,8.0823,134.7173,301.61,76,97,3.89,PW,1702008352
347,chabahar,25.2919,60.643,296.32,53,0,2.55,IR,1702008352
348,sur,22.5667,59.5289,296.62,45,0,1.04,OM,1702008353
349,tidjikja,18.5564,-11.4271,293.55,17,83,5.48,MR,1702008353
350,haiku-pauwela,20.9219,-156.3051,298.16,71,20,2.06,US,1702008354
351,san sebastian de la gomera,28.0916,-17.1133,293.35,72,0,1.54,ES,1702008354
352,vanino,49.0869,140.2543,267.55,67,44,3.34,RU,1702008355
353,la gi,10.6667,107.7833,300.31,71,100,1.94,VN,1702008355
354,vila franca do campo,37.7167,-25.4333,292.38,99,100,8.8,PT,1702008356
355,dryden,49.7833,-92.7503,274.31,86,100,3.6,CA,1702008057
356,chegdomyn,51.1167,133.0167,258.01,78,100,1.48,RU,1702008357
357,zabid,14.1951,43.3152,297.13,67,23,2.51,YE,1702008357
358,karratha,-20.7377,116.8463,312.01,19,7,5.95,AU,1702008357
359,qaqortoq,60.7167,-46.0333,274.09,64,100,5.49,GL,1702008358
360,heihe,50.2441,127.4902,258.4,94,100,5.7,CN,1702008359
361,homer,59.6425,-151.5483,271.08,88,100,1.79,US,1702008359
362,isabel segunda,18.1491,-65.4427,299.75,99,0,0.45,PR,1702008360
